CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-000002,Brooklyn,301,34,40.701668,-73.942489,Link Active!,138951,15 DEBEVOISE STREET,11206,bk-01-138951,08/02/2017,07/01/2017,East Williamsburg,3071604,3031190027,3049100,"(40.70166753, -73.94248859)"
LINK-000003,Brooklyn,301,34,40.701542,-73.942169,Link Active!,109091,24 Graham Avenue,11206,bk-01-109091,08/03/2017,07/01/2017,East Williamsburg,3071658,3031270011,3049100,"(40.70154219381847, -73.9421692830818)"
LINK-000004,Brooklyn,301,34,40.701930,-73.942239,Link Active!,143982,32 Puerto Rico Ave,11206,bk-01-143982,08/02/2017,07/01/2017,East Williamsburg,3071609,3031200003,3049100,"(40.70193034387478, -73.94223923853747)"
LINK-000005,Brooklyn,301,34,40.705060,-73.942918,Link Active!,109262,101 Puerto Rico Ave,11206,bk-01-109262,05/23/2017,04/28/2017,East Williamsburg,3325892,3030880015,3049100,"(40.70506042, -73.94291758)"
LINK-000027,Brooklyn,301,33,40.728133,-73.953439,Link Active!,125268,817 Manhattan Ave,11222,bk-01-125268,04/14/2017,03/31/2017,Greenpoint,3065107,3025730019,3056100,"(40.728133, -73.953439)"
LINK-000029,Brooklyn,301,33,40.717770,-73.957869,Link Installed; Connecting Power and Fiber,140988,182 Bedford Ave,11249,bk-01-140988,,11/03/2017,North Williamsburg,3062079,3023270022,3055300,"(40.71777024, -73.95786908)"
LINK-000031,Brooklyn,306,39,40.674556,-73.981936,Link Active!,125931,270 5Th Ave,11215,bk-06-125931,04/03/2017,02/24/2017,Park Slope-Gowanus,3020591,3009640036,3013300,"(40.67455551, -73.98193577)"
LINK-000032,Brooklyn,306,39,40.677620,-73.979738,Link Active!,125930,168 5Th Ave,11217,bk-06-125930,04/03/2017,02/24/2017,Park Slope-Gowanus,3019560,3009490044,3013100,"(40.67761961, -73.97973799)"
LINK-000034,Brooklyn,308,35,40.679568,-73.974060,Link Installed; Connecting Power and Fiber,125716,271 Flatbush Av,11217,bk-08-125716,,11/03/2017,Prospect Heights,3250935,3011507501,3016100,"(40.679568, -73.97406)"
LINK-000035,Brooklyn,306,39,40.679639,-73.974371,Link Installed; Connecting Power and Fiber,126514,248 Flatbush,11217,bk-06-126514,,11/03/2017,Prospect Heights,3018773,3009360012,3016100,"(40.679638583935684, -73.97437145711058)"
LINK-000036,Brooklyn,308,35,40.678453,-73.973253,Link Installed; Connecting Power and Fiber,126502,307 Flatbush Av,11217,bk-08-126502,,11/03/2017,Prospect Heights,3028698,3011570015,3016100,"(40.678452794261375, -73.97325277705482)"
LINK-000039,Brooklyn,307,39,40.664176,-73.990353,Link Active!,125916,601 5Th Avenue,11215,bk-07-125916,07/25/2017,06/27/2017,Park Slope-Gowanus,3330599,3010530001,3014100,"(40.664176, -73.990353)"
LINK-000040,Brooklyn,306,39,40.668533,-73.986956,Link Active!,125910,462 5Th Avenue,11215,bk-06-125910,04/03/2017,02/23/2017,Park Slope-Gowanus,3000000,3010160038,3013900,"(40.66853323, -73.98695629)"
LINK-000041,Brooklyn,306,39,40.669018,-73.986317,Link Active!,125626,445 5Th Avenue,11215,bk-06-125626,06/05/2017,02/24/2017,Park Slope-Gowanus,3000000,3010110005,3013900,"(40.669018, -73.986317)"
LINK-000042,Brooklyn,306,39,40.669731,-73.985958,Link Active!,125921,426 5Th Avenue,11215,bk-06-125921,04/03/2017,02/23/2017,Park Slope-Gowanus,3022092,3010040038,3013700,"(40.66973105, -73.98595804)"
LINK-000043,Brooklyn,306,39,40.673534,-73.982789,Link Active!,117250,304 5Th Avenue,11215,bk-06-117250,08/15/2017,06/27/2017,Park Slope-Gowanus,3020782,3009690045,3013500,"(40.673534, -73.982789)"
LINK-000044,Brooklyn,302,35,40.683625,-73.977006,Link Active!,126505,620 Atlantic Avenue,11217,bk-02-126505,07/25/2017,06/30/2017,Park Slope-Gowanus,3348849,3020017501,3012901,"(40.683625, -73.977006)"
